entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
firm_50295,lobbyist_50836,JOHN GRZEBIEN,JOHN GREEN,86.96,False
lobbyist_66672,lobbyist_66235,CHRISTOPHER KEARNEY,CHRISTOPHER SARLEY,86.49,False
lobbyist_69840,lobbyist_32310,CHRISTOPHER WILCOX,CHRISTOPHER COX,90.91,False
lobbyist_65518,lobbyist_56499,WILLIAM SMITH,WILLIAM SETH,88.0,False
lobbyist_93374,lobbyist_48260,ELIZABETH BENNETT,ELIZABETH BARNETT,88.24,False
lobbyist_71066,lobbyist_139482,GRAHAM HALL,GRAHAM HILL,90.91,False
lobbyist_55182,lobbyist_151069,JOSEPH BARTON,JOSEPH BROWN,88.0,False
lobbyist_36434,lobbyist_68649,JORDAN BERNSTEIN,RYAN BERNSTEIN,86.67,False
firm_85014,lobbyist_1526,MARLA GROSSMAN LLC,MARLA GROSSMAN,87.5,False
lobbyist_144898,lobbyist_59003,ERIC BERGREN,ERIC BERGER,86.96,False
lobbyist_66662,lobbyist_54249,GORDON BATES,BART GORDON,86.96,False
lobbyist_55182,lobbyist_92875,JOSEPH BARTON,JOSEPH BRITTON,88.89,False
lobbyist_66235,lobbyist_124311,CHRISTOPHER SARLEY,CHRISTOPHER CORLEY,88.89,False
lobbyist_57457,lobbyist_70956,RYAN THOMPSON,ERYKKA THOMPSON,85.71,False
lobbyist_57044,lobbyist_71987,CHRISTOPHER CARON,CHRISTOPHER CARNEY,91.43,False
lobbyist_64574,lobbyist_62769,JEFFERY MORTIER,JEFFERY MORE,88.89,False
lobbyist_7381,lobbyist_146653,DAVID THOMAS,THOMAS DAVIS,91.67,False
lobbyist_71066,lobbyist_7550,GRAHAM HALL,GRAHAM HILL,90.91,False
lobbyist_67545,lobbyist_61198,JOHN STONE,JOHN STERNE,85.71,False
lobbyist_143712,lobbyist_5259,JEFFREY MARKEY,JEFF MARKEY,88.0,False
lobbyist_70972,lobbyist_72207,JUSTIN BROWER,JUSTIN BROWN,88.0,False
lobbyist_141629,lobbyist_42972,CHRISTOPHER DAVIS,CHRISTOPHER JAVENS,85.71,False
lobbyist_19132,lobbyist_141667,MICHAEL HERSON,MICHAEL HEATON,85.71,False
lobbyist_65363,lobbyist_139124,KATE ROSE,KATE KROS,88.89,False
lobbyist_19132,lobbyist_141674,MICHAEL HERSON,MICHAEL HEATON,85.71,False
firm_290811,lobbyist_51460,MS. ELIZABETH LAVACH,ELIZABETH LAVACH,88.89,False
lobbyist_71275,lobbyist_142899,WILLIAM TODD,WILL TODD,85.71,False
lobbyist_66028,lobbyist_39415,TIMOTHY CASEY,TIMOTHY CANSLER,85.71,False
firm_73635,lobbyist_46815,GEOFFREY P. GRAY,GEOFFREY GRAY,89.66,False
firm_400359656,lobbyist_49343,MS. MISSY BRANSON,MISSY BRANSON,86.67,False
lobbyist_141667,lobbyist_47486,MICHAEL HEATON,MICHAEL HUTTON,85.71,False
firm_400427058,lobbyist_88151,MR. WILLIAM BALL,WILLIAM BALL,85.71,False
